CODMICRO;CODMESO;UF;REGIAO;MICROREGIAO;LAT;LONG;IDHM2010;ESCALA_IDH;POP;AREA;DENSID
220312;2203;PI;NE;CHAPADAS DO EXTREMO SUL PIAUIENSE;-10,18546185;-44,51612873;0,593737059;BAIXO;83.939;17.851;4,7
210414;2104;MA;NE;CHAPADINHA;-3,666306646;-43,28777867;0,574829807;BAIXO;244.528;10.797;22,6
420102;4201;SC;S;CHAPECO;-26,80787791;-52,98694407;0,766537464;ALTO;500.242;6.059;82,6
230214;2302;CE;NE;CHOROZINHO;-4,461040954;-38,52731005;0,604354408;MEDIO;67.047;1.320;50,8
410103;4101;PR;S;CIANORTE;-23,6399851;-52,80456267;0,734241262;ALTO;153.870;4.074;37,8
130306;1303;AM;N;COARI;-3,84281392;-63,49303033;0,568120946;BAIXO;155.392;112.082;1,4
210415;2104;MA;NE;CODO;-4,494876537;-44,02835159;0,575687163;BAIXO;256.220;9.920;25,8
210416;2104;MA;NE;COELHO NETO;-4,457885877;-43,31168327;0,54285232;BAIXO;81.311;3.608;22,5
320103;3201;ES;SE;COLATINA;-19,38863836;-40,77898122;0,721171318;ALTO;208.793;4.359;47,9
510103;5101;MT;CO;COLIDER;-10,45271691;-55,10608848;0,691550952;MEDIO;148.630;42.775;3,5
110208;1102;RO;N;COLORADO DO OESTE;-13,19598277;-61,1557609;0,670813505;MEDIO;46.591;14.624;3,2
150622;1506;PA;N;CONCEICAO DO ARAGUAIA;-8,411521732;-50,13299246;0,605548746;MEDIO;111.476;31.195;3,6
310728;3107;MG;SE;CONCEICAO DO MATO DENTRO;-18,7581916;-43,33353344;0,614457845;MEDIO;89.290;6.815;13,1
420105;4201;SC;S;CONCORDIA;-27,18125779;-52,09375742;0,777686213;ALTO;159.245;3.131;50,9
310734;3107;MG;SE;CONSELHEIRO LAFAIETE;-20,66370158;-43,9140779;0,74147534;ALTO;270.495;2.944;91,9
230103;2301;CE;NE;COREAU;-3,502033096;-40,68845725;0,59398576;BAIXO;58.569;2.073;28,3
410415;4104;PR;S;CORNELIO PROCOPIO;-23,24785308;-50,56850632;0,721354814;ALTO;167.344;4.538;36,9
290102;2901;BA;NE;COTEGIPE;-11,56157376;-44,41651004;0,602299358;MEDIO;116.152;22.631;5,1
280308;2803;SE;NE;COTINGUIBA;-10,53722251;-37,1220031;0,611665236;MEDIO;47.756;769;62,1
420619;4206;SC;S;CRICIUMA;-28,57132423;-49,43575887;0,771902553;ALTO;423.084;2.106;200,9
430111;4301;RS;S;CRUZ ALTA;-28,70770241;-53,45796227;0,742578329;ALTO;141.864;7.754;18,3
120101;1201;AC;N;CRUZEIRO DO SUL;-8,491626002;-72,93166601;0,622397541;MEDIO;153.954;31.949;4,8
510417;5104;MT;CO;CUIABA;-15,9306561;-55,87225501;0,763964658;ALTO;997.560;26.662;37,4
250312;2503;PB;NE;CURIMATAU OCIDENTAL;-6,84460606;-35,9834079;0,585444202;BAIXO;118.741;3.910;30,4
250313;2503;PB;NE;CURIMATAU ORIENTAL;-6,627146463;-35,65407018;0,567003763;BAIXO;88.233;1.352;65,3
411037;4110;PR;S;CURITIBA;-25,37916409;-49,2170113;0,77752142;ALTO;3.387.552;8.541;396,6
