CODMESO;UF;REGIAO;MESOREGIAO;LAT;LONG;IDHM2010;ESCALA_IDH;POP;AREA;DENSID
5102;MT;CO;NORDESTE MATO-GROSSENSE;-13,49622453;-52,48473828;0,687718508;MEDIO;348.252;176.582;2
5101;MT;CO;NORTE MATO-GROSSENSE;-12,64896418;-57,04235146;0,71457641;ALTO;1.214.612;484.107;2,5
5105;MT;CO;SUDESTE MATO-GROSSENSE;-16,64178936;-53,94580585;0,735787084;ALTO;561.081;73.901;7,6
5103;MT;CO;SUDOESTE MATO-GROSSENSE;-14,95224374;-58,25330246;0,701069939;ALTO;345.975;72.595;4,8
1501;PA;N;BAIXO AMAZONAS;-0,559240927;-55,48192829;0,626256526;MEDIO;845.083;340.449;2,5
1502;PA;N;MARAJO;-1,612511097;-50,28888896;0,51172742;BAIXO;559.978;102.809;5,4
1503;PA;N;METROPOLITANA DE BELEM;-1,463707011;-48,19013869;0,717422616;ALTO;2.431.438;6.882;353,3
1504;PA;N;NORDESTE PARAENSE;-1,709216267;-47,62438425;0,573747103;BAIXO;1.892.767;82.573;22,9
1506;PA;N;SUDESTE PARAENSE;-5,15545807;-49,65086915;0,63657533;MEDIO;1.803.819;297.364;6,1
1505;PA;N;SUDOESTE PARAENSE;-5,427790253;-53,52447289;0,603422259;MEDIO;583.047;415.792;1,4
2503;PB;NE;AGRESTE PARAIBANO;-7,181714987;-35,71435737;0,632998998;MEDIO;1.249.493;12.922;96,7
2502;PB;NE;BORBOREMA;-7,396576918;-36,64334625;0,603088812;MEDIO;305.554;15.574;19,6
2504;PB;NE;MATA PARAIBANA;-7,019346925;-35,11928181;0,691585768;MEDIO;1.553.326;5.230;297
2501;PB;NE;SERTAO PARAIBANO;-6,944349059;-37,98911278;0,61822512;MEDIO;866.122;22.746;38,1
2603;PE;NE;AGRESTE PERNAMBUCANO;-8,482026106;-36,27998658;0,605408056;MEDIO;2.339.897;24.513;95,5
2604;PE;NE;MATA PERNAMBUCANA;-8,226519216;-35,39619726;0,614038362;MEDIO;1.259.831;8.403;149,9
2605;PE;NE;METROPOLITANA DE RECIFE;-8,132126517;-35,05450217;0,729630721;ALTO;3.729.609;2.780;1341,6
2602;PE;NE;SAO FRANCISCO PERNAMBUCANO;-8,63828143;-39,59875497;0,658215065;MEDIO;677.192;24.447;27,7
2601;PE;NE;SERTAO PERNAMBUCANO;-8,082719276;-38,58820407;0,605197933;MEDIO;1.051.626;37.933;27,7
2202;PI;NE;CENTRO-NORTE PIAUIENSE;-5,296973556;-41,92981986;0,682249025;MEDIO;1.530.452;55.243;27,7
2201;PI;NE;NORTE PIAUIENSE;-3,796387744;-41,81295549;0,594509409;BAIXO;673.158;22.187;30,3
2204;PI;NE;SUDESTE PIAUIENSE;-7,769784642;-41,46820413;0,593679809;BAIXO;529.188;46.168;11,5
2203;PI;NE;SUDOESTE PIAUIENSE;-8,825408388;-44,0932767;0,604300066;MEDIO;536.402;128.158;4,2
4102;PR;S;CENTRO OCIDENTAL PARANAENSE;-24,33449125;-52,47806603;0,722451816;ALTO;341.931;11.935;28,6
4105;PR;S;CENTRO ORIENTAL PARANAENSE;-24,48070505;-50,29485151;0,728667806;ALTO;758.084;21.881;34,6
4108;PR;S;CENTRO-SUL PARANAENSE;-25,44617308;-52,00873369;0,684698222;MEDIO;551.246;26.455;20,8
4110;PR;S;METROPOLITANA DE CURITIBA;-25,37554491;-49,28180165;0,769615059;ALTO;3.864.869;22.818;169,4
4101;PR;S;NOROESTE PARANAENSE;-23,47518439;-52,91618863;0,727251716;ALTO;726.131;24.489;29,7
4103;PR;S;NORTE CENTRAL PARANAENSE;-23,97260065;-51,54456042;0,751627388;ALTO;2.271.582;24.554;92,5
4104;PR;S;NORTE PIONEIRO PARANAENSE;-23,59098441;-50,20218979;0,711019726;ALTO;546.185;15.726;34,7
4106;PR;S;OESTE PARANAENSE;-25,00059031;-53,37206364;0,751042651;ALTO;1.403.179;22.843;61,4
4109;PR;S;SUDESTE PARANAENSE;-25,68575706;-50,91963278;0,691866951;MEDIO;407.842;16.942;24,1
4107;PR;S;SUDOESTE PARANAENSE;-25,89899479;-53,11281407;0,738418256;ALTO;572.159;11.650;49,1
3304;RJ;SE;BAIXADAS;-22,64703142;-42,17005862;0,731844276;ALTO;868.109;3.638;238,6
3303;RJ;SE;CENTRO FLUMINENSE;-22,10379677;-42,5222643;0,713233831;ALTO;494.002;6.808;72,6
3306;RJ;SE;METROPOLITANA DO RIO DE JANEIRO;-22,71072743;-43,32442996;0,763000633;ALTO;12.370.450;10.263;1205,3
3301;RJ;SE;NOROESTE FLUMINENSE;-21,28192933;-41,96056842;0,714094319;ALTO;324.037;5.373;60,3
3302;RJ;SE;NORTE FLUMINENSE;-21,80679752;-41,63252694;0,720845868;ALTO;920.815;9.740;94,5
3305;RJ;SE;SUL FLUMINENSE;-22,76515116;-44,33118428;0,739956719;ALTO;1.077.111;7.926;135,9
2403;RN;NE;AGRESTE POTIGUAR;-6,080284285;-35,76313658;0,600276353;MEDIO;428.390;9.351;45,8
2402;RN;NE;CENTRAL POTIGUAR;-6,074694545;-36,68027225;0,648404268;MEDIO;382.902;15.833;24,2
2404;RN;NE;LESTE POTIGUAR;-5,913130191;-35,33447195;0,708334222;ALTO;1.648.775;6.448;255,7
2401;RN;NE;OESTE POTIGUAR;-5,886362752;-37,58444709;0,654055795;MEDIO;842.339;21.181;39,8
1102;RO;N;LESTE RONDONIENSE;-11,45775495;-61,95731989;0,681282379;MEDIO;944.382;131.303;7,2
1101;RO;N;MADEIRA-GUAPORE;-10,5244016;-64,12117266;0,704647249;ALTO;636.634;106.452;6
