,eleicao,codmun,vencedor,vt_dir,vt_esq,qt_secoes,codmicro,codmeso,uf,regiao,lat,long,escala_idh,escala_dens
4212,2018,2611606,EMPATE,4203,4203,32,260517,2605,PE,NE,"-8,062762483","-34,88894194",ALTA,MUITO ALTA
4213,2018,2611606,ESQUERDA,269282,355500,2233,260517,2605,PE,NE,"-8,062762483","-34,88894194",ALTA,MUITO ALTA
4214,2022,2611606,DIREITA,77991,65062,490,260517,2605,PE,NE,"-8,062762483","-34,88894194",ALTA,MUITO ALTA
4215,2022,2611606,EMPATE,2088,2088,15,260517,2605,PE,NE,"-8,062762483","-34,88894194",ALTA,MUITO ALTA
4216,2022,2611606,ESQUERDA,353238,491540,2901,260517,2605,PE,NE,"-8,062762483","-34,88894194",ALTA,MUITO ALTA
4217,2018,2611705,ESQUERDA,3806,10272,59,260308,2603,PE,NE,"-8,127032781","-35,86087495",BAIXA,ALTA
4218,2022,2611705,ESQUERDA,4576,11721,60,260308,2603,PE,NE,"-8,127032781","-35,86087495",BAIXA,ALTA
4219,2018,2611804,ESQUERDA,5563,14120,88,260415,2604,PE,NE,"-8,51111604","-35,37613082",MEDIA,MUITO ALTA
4220,2022,2611804,ESQUERDA,6397,14648,91,260415,2604,PE,NE,"-8,51111604","-35,37613082",MEDIA,MUITO ALTA
4221,2018,2611903,ESQUERDA,2945,8410,53,260415,2604,PE,NE,"-8,662171085","-35,15543282",MEDIA,MUITO ALTA
4222,2022,2611903,ESQUERDA,3401,8623,54,260415,2604,PE,NE,"-8,662171085","-35,15543282",MEDIA,MUITO ALTA
4223,2018,2612000,ESQUERDA,2326,5667,38,260312,2603,PE,NE,"-8,327613539","-35,71024777",BAIXA,ALTA
4224,2022,2612000,ESQUERDA,2567,6308,38,260312,2603,PE,NE,"-8,327613539","-35,71024777",BAIXA,ALTA
4225,2018,2612109,ESQUERDA,909,3471,22,260310,2603,PE,NE,"-7,939483741","-35,63806124",BAIXA,ALTA
4226,2022,2612109,ESQUERDA,1171,3921,22,260310,2603,PE,NE,"-7,939483741","-35,63806124",BAIXA,ALTA
4227,2018,2612208,ESQUERDA,5694,25020,122,260102,2601,PE,NE,"-8,070677522","-39,12085098",MEDIA,ALTA
4228,2022,2612208,ESQUERDA,6288,26290,125,260102,2601,PE,NE,"-8,070677522","-39,12085098",MEDIA,ALTA
